epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.2799,1.27455,0.7625,1,0.6531,0.000366125,0.000366125,0.000366125
2,42.2235,0.70213,0.84,1,0.48582,0.000721876,0.000721876,0.000721876
3,62.9083,0.59255,0.8625,1,0.41179,0.00106296,0.00106296,0.00106296
4,82.5725,0.55997,0.8725,1,0.39428,0.00104501,0.00104501,0.00104501
5,103.133,0.51751,0.8325,1,0.51126,0.00102301,0.00102301,0.00102301
6,123.779,0.48243,0.8575,1,0.43806,0.00100101,0.00100101,0.00100101
7,143.194,0.43553,0.865,1,0.41382,0.000979013,0.000979013,0.000979013
8,163.257,0.40266,0.8225,1,0.49884,0.000957015,0.000957015,0.000957015
9,184.845,0.41214,0.82,1,0.54998,0.000935018,0.000935018,0.000935018
10,204.172,0.37853,0.87,1,0.39786,0.00091302,0.00091302,0.00091302
11,224.058,0.35415,0.87,1,0.4223,0.000891022,0.000891022,0.000891022
12,245.75,0.34263,0.87,1,0.40395,0.000869024,0.000869024,0.000869024
13,264.778,0.36099,0.83,1,0.46782,0.000847026,0.000847026,0.000847026
14,284.115,0.32849,0.855,1,0.38756,0.000825029,0.000825029,0.000825029
15,305.107,0.29116,0.8675,1,0.39017,0.000803031,0.000803031,0.000803031
16,325.483,0.28531,0.895,1,0.39181,0.000781033,0.000781033,0.000781033
17,345.162,0.23399,0.87,1,0.39606,0.000759035,0.000759035,0.000759035
18,365.98,0.2595,0.87,1,0.4366,0.000737037,0.000737037,0.000737037
19,386.018,0.24096,0.86,1,0.45498,0.00071504,0.00071504,0.00071504
20,405.62,0.22381,0.8675,1,0.46036,0.000693042,0.000693042,0.000693042
21,425.515,0.23947,0.875,1,0.42007,0.000671044,0.000671044,0.000671044
22,446.67,0.20836,0.8675,1,0.42421,0.000649046,0.000649046,0.000649046
23,466.162,0.213,0.855,1,0.49765,0.000627048,0.000627048,0.000627048
24,485.391,0.21573,0.8825,1,0.41915,0.000605051,0.000605051,0.000605051
25,506.669,0.17305,0.8675,1,0.40677,0.000583053,0.000583053,0.000583053
26,526.206,0.19124,0.8725,1,0.44526,0.000561055,0.000561055,0.000561055
27,545.509,0.18915,0.85,1,0.4772,0.000539057,0.000539057,0.000539057
28,564.998,0.17366,0.8625,1,0.45956,0.000517059,0.000517059,0.000517059
29,585.919,0.16971,0.875,1,0.45193,0.000495062,0.000495062,0.000495062
30,605.063,0.16636,0.865,1,0.45728,0.000473064,0.000473064,0.000473064
31,624.294,0.15148,0.875,1,0.45643,0.000451066,0.000451066,0.000451066
32,645.657,0.14091,0.88,1,0.48879,0.000429068,0.000429068,0.000429068
33,664.837,0.14511,0.8775,1,0.48192,0.00040707,0.00040707,0.00040707
34,683.859,0.13411,0.8675,1,0.47558,0.000385073,0.000385073,0.000385073
35,703.695,0.12639,0.8675,1,0.45145,0.000363075,0.000363075,0.000363075
36,724.454,0.11792,0.8675,1,0.43764,0.000341077,0.000341077,0.000341077
37,743.585,0.12784,0.8725,1,0.45377,0.000319079,0.000319079,0.000319079
38,762.59,0.12115,0.8675,1,0.44533,0.000297081,0.000297081,0.000297081
39,784.044,0.13681,0.8675,1,0.45343,0.000275084,0.000275084,0.000275084
40,803.042,0.10722,0.8625,1,0.48797,0.000253086,0.000253086,0.000253086
41,823.401,0.13994,0.86,1,0.50471,0.000231088,0.000231088,0.000231088
42,844.482,0.1309,0.8575,1,0.46804,0.00020909,0.00020909,0.00020909
43,864.113,0.08543,0.865,1,0.46134,0.000187092,0.000187092,0.000187092
44,883.458,0.10317,0.86,1,0.50935,0.000165095,0.000165095,0.000165095
45,903.604,0.12354,0.87,1,0.47814,0.000143097,0.000143097,0.000143097
46,924.764,0.09444,0.86,1,0.49083,0.000121099,0.000121099,0.000121099
47,944.112,0.09463,0.86,1,0.47208,9.91012e-05,9.91012e-05,9.91012e-05
48,963.412,0.1139,0.8625,1,0.47788,7.71034e-05,7.71034e-05,7.71034e-05
49,985.151,0.09749,0.8525,1,0.49194,5.51056e-05,5.51056e-05,5.51056e-05
50,1004.65,0.10838,0.8525,1,0.49339,3.31078e-05,3.31078e-05,3.31078e-05
